CustomerId,Age,Gender,isCustomerSuspended,CallDropRate,NumberOfComplaints,MonthlyBilledAmount - Rs,UnpaidBalance - Rs,NumberOfMonthUnpaid,TotalMinsUsedInLastMonth,TotalCallDuration,AvgCallDuration,PercentageCallOutsideNetwork,isChurned
1,12,Male,Yes,0.06,0,2430,870,7,15,5971,663,0.82,No
2,42,Female,Yes,0.05,1,540,1320,4,212,7379,737,0.27,No
3,58,Female,Yes,0.07,0,780,4620,2,216,3122,624,0.48,No
4,20,Male,Yes,0.05,1,2520,5070,7,412,834,834,0.94,No
5,36,Male,Yes,0.07,0,2730,870,5,416,1886,628,0.15,No
6,67,Female,Yes,0.05,1,870,1320,2,113,2737,391,0.61,No
7,14,Male,Yes,0.07,3,1110,4620,0,116,3342,557,0.82,No
8,45,Female,Yes,0.05,1,2850,5070,5,313,2446,815,0.27,No
9,61,Female,Yes,0.07,3,3060,870,3,316,2065,516,0.48,No
10,23,Male,Yes,0.06,0,1200,1320,0,13,3022,755,0.94,Yes
11,39,Female,Yes,0,3,1410,4620,6,17,3968,661,0.15,No
12,69,Male,Yes,0.06,0,3150,5070,4,214,1392,696,0.61,No
13,17,Male,Yes,0,3,3390,870,1,217,6780,968,0.82,No
14,48,Female,Yes,0.06,0,1530,1320,7,414,3877,775,0.27,No
15,64,Female,Yes,0,2,1740,4620,4,417,3624,604,0.48,No
16,26,Male,Yes,0.06,0,3480,5070,2,114,3595,599,0.94,No
17,42,Female,Yes,0,2,3720,870,7,118,3716,929,0.15,No
18,72,Male,Yes,0.07,3,1860,1320,5,315,3646,607,0.61,No
19,20,Male,Yes,0.01,2,2070,4620,2,318,6031,861,0.82,No
20,50,Female,Yes,0.07,3,3810,5070,0,15,1922,961,0.28,No
21,66,Female,Yes,0.01,1,420,870,5,18,4680,936,0.49,No
22,29,Male,Yes,0.07,3,2160,1320,3,215,4746,527,0.94,No
23,45,Female,Yes,0.01,1,2400,4620,0,219,1175,587,0.15,No
24,75,Male,Yes,0.07,2,540,5070,6,416,4992,998,0.61,No
25,23,Male,Yes,0.01,1,750,870,3,419,3219,643,0.82,No
26,53,Female,Yes,0,2,2490,1320,1,116,5926,592,0.28,No
27,69,Female,Yes,0.02,1,2730,4620,6,119,7748,704,0.49,No
28,31,Male,Yes,0,2,840,5070,4,316,7215,721,0.94,No
29,47,Female,Yes,0.02,0,1080,870,1,320,6115,611,0.15,No
30,78,Male,Yes,0,2,2820,1320,7,16,4933,704,0.61,No
31,26,Male,Yes,0.02,0,3030,4620,5,20,2707,541,0.82,No
32,56,Female,Yes,0,1,1170,5070,2,217,3978,795,0.28,No
33,72,Female,Yes,0.02,0,1410,870,0,220,1596,399,0.49,No
34,34,Male,Yes,0.01,1,3150,1320,5,417,5974,746,0.94,No
35,50,Female,Yes,0.03,0,3360,4620,3,420,2198,732,0.16,No
36,13,Male,Yes,0.01,1,1500,5070,0,117,3994,998,0.61,No
37,28,Male,Yes,0.03,3,1710,870,6,121,1384,346,0.82,No
38,59,Female,Yes,0.01,1,3450,1320,3,318,2849,949,0.28,No
39,75,Female,Yes,0.03,3,3690,4590,1,321,3015,603,0.49,No
40,37,Male,Yes,0.01,0,1830,5040,6,18,5173,862,0.95,No
41,53,Female,Yes,0.03,3,2040,840,4,21,2614,326,0.16,No
42,15,Male,Yes,0.02,0,3780,1290,2,218,5422,1084,0.61,Yes
43,31,Male,Yes,0.04,2,420,4590,7,222,2916,583,0.82,No
44,62,Female,Yes,0.02,0,2160,5040,5,419,7311,609,0.28,No
45,77,Male,Yes,0.04,2,2370,840,2,422,1761,587,0.49,No
46,40,Female,Yes,0.02,3,510,1290,0,119,5350,668,0.95,No
47,56,Female,Yes,0.04,2,720,4590,5,122,3793,948,0.16,No
48,18,Male,Yes,0.02,3,2460,5040,3,319,7422,530,0.61,No
49,34,Male,Yes,0.04,2,2700,840,0,323,6501,812,0.83,No
50,64,Female,Yes,0.03,3,840,1290,6,20,2851,950,0.28,No
51,67,Female,Yes,0.06,0,3570,2340,0,119,4356,622,0.81,No
52,14,Female,Yes,0,3,3780,5640,5,122,1603,400,0.02,No
53,45,Male,Yes,0.07,0,1920,6090,3,319,4873,812,0.48,No
54,61,Female,Yes,0.01,2,2130,1890,1,322,6260,894,0.69,No
55,23,Male,Yes,0.07,0,3870,2340,6,19,4982,996,0.15,No
56,39,Male,Yes,0.01,2,510,5640,4,23,3399,566,0.36,No
57,69,Female,Yes,0.07,3,2250,6090,1,220,5120,1024,0.81,No
58,17,Female,Yes,0.01,2,2460,1890,7,223,2541,635,0.02,No
59,48,Male,Yes,0.07,3,600,2340,4,420,2094,418,0.48,Yes
60,64,Female,Yes,0.01,2,840,5640,2,423,1248,416,0.69,No
61,26,Male,Yes,0,3,2550,6090,7,120,4894,699,0.15,No
62,42,Male,Yes,0.02,1,2790,1890,5,124,7318,731,0.36,No
63,72,Female,Yes,0,2,930,2340,2,321,2422,807,0.81,No
64,20,Female,Yes,0.02,1,1140,5640,0,324,5519,919,0.03,No
65,50,Male,No,0,2,2880,6090,6,21,3286,657,0.48,No
66,66,Female,Yes,0.02,1,3120,1890,3,24,4067,1016,0.69,No
67,29,Male,Yes,0,2,1260,2340,1,221,5147,643,0.15,No
68,45,Male,Yes,0.02,0,1470,5640,6,225,5234,872,0.36,No
69,75,Female,Yes,0.01,2,3210,6090,4,422,3129,782,0.82,No
70,23,Female,Yes,0.03,0,3420,1890,1,425,1562,781,0.03,No
71,53,Male,Yes,0.01,1,1560,2340,7,122,6985,776,0.48,No
72,69,Female,Yes,0.03,0,1800,5640,4,125,410,410,0.69,No
73,31,Male,Yes,0.01,1,3540,6090,2,322,2215,1107,0.15,No
74,47,Male,Yes,0.03,0,3750,1890,7,326,2620,436,0.36,No
75,78,Female,Yes,0.01,1,1890,2340,5,22,6683,668,0.82,No
76,26,Female,Yes,0.03,3,2130,5640,2,26,2770,395,0.03,No
77,56,Male,Yes,0.02,1,3870,6090,0,223,4680,780,0.48,No
